title	score	link	summary	published	tickers
Электромобильный стартап Arrival экс-главы Yota уйдет из России	-0.5833333333333333	https://www.rbc.ru/technology_and_media/12/05/2022/627c67ed9a7947d6d77cd3c3	Британский электромобильный стартап Arrival, который основал экс-глава телекоммуникационного оператора Yota и бывший замминистра связи Денис Свердлов, намерен прекратить деятельность в России, сообщает Financial Times.	Thu, 12 May 2022 05:10:01 +0300	['ARVL']
Экс-глава НМТП рассказал о «напряженных отношениях» братьев Магомедовых	-0.3142857142857143	https://www.rbc.ru/society/16/11/2020/5fb2709d9a7947745d46579f	Экс-председатель совета директоров Новороссийского морского торгового порта (НМТП) рассказал в Хамовническом суде о напряженных отношениях между братьями Магомедовыми. В суде рассматривают иск Генпрокуратуры по изъятию $750 млн.	Fri, 20 May 2022 19:13:18 +0300	['NMTP']
Шрёдер отклонил предложение войти в совет директоров «Газпрома»	-0.3333333333333333	https://www.rbc.ru/business/20/05/2022/628772b89a7947513b596dd0	Его кандидатуру выдвинули в начале февраля. Как пишет Focus, Шрёдер сообщил, что отказался от предложения давно	Tue, 24 May 2022 22:12:05 +0300	['GAZP']
Шельф берут в разработку // Генподрядчиком «Газпрома» на море может стать компания Андрея Патрушева	0.7	https://www.kommersant.ru/doc/5482398	Как стало известно “Ъ”, «Аврора» Андрея Патрушева под новым названием «Газпром шельфпроект» может стать основным подрядчиком «Газпрома» по бурению на шельфе. Под ее управление перейдет нынешний флот плавучих буровых платформ и судов снабжения «Газпром флота». Компания может консолидировать заказы «Газпрома» и НОВАТЭКа по бурению в акватории арктических морей. В «Газпром шельфпроекте» заявили “Ъ”, что рассчитывают стать «специализированным центром инженерно-технических компетенций для выполнения работ на морских месторождениях».	Fri, 29 Jul 2022 00:28:00 +0300	['GAZP']
"Чистый убыток ""Юнипро"" в 1 полугодии 2022 года по РСБУ составил 12,8 млрд рублей"	-0.6111111111111112	https://www.finam.ru/analysis/newsitem/chistyiy-ubytok-yunipro-v-1-polugodii-2022-goda-po-rsbu-sostavil-12-8-mlrd-rubleiy-20220728-124300/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns	"Чистый убыток ""Юнипро"" в 1 полугодии 2022 года по РСБУ составил 12,8 млрд рублей против прибыли в размере 7,79 млрд рублей в 1 полугодии 2021 года, сообщила компания. Убыток связан с проведенным в 1 квартале 2022 года обесценением активов в сумме 32 млрд рублей в результате изменения прогноза макроэкономических показателей на фоне геополитической обстановки.
Валовая прибыль за 1 полугодие текущего года увеличилась на 60,8% и составила 16,7млрд рублей.
В 1 полугодии 2022 года выручка ""Юнипро"" увеличилась на 20,9% по отношению к аналогичному периоду прошлого года и составила 54,7 млрд рублей."	Thu, 28 Jul 2022 12:43:00 +0300	['UPRO']
Чистая прибыль ТГК-2 по РСБУ в 1 полугодии 2022 года сократилась на 41,6%	-0.03448275862068967	https://www.finam.ru/analysis/newsitem/chistaya-pribyl-tgk-2-po-rsbu-v-1-polugodii-2022-goda-sokratilas-na-41-6-20220729-164408/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns	"Чистая прибыль ТГК-2 по РСБУ в 1 полугодии 2022 года сократилась на 41,6% в годовом сопоставлении - до 1,642 млрд рублей, следует из отчетности компании.
Выручка снизилась до 22 млрд 869,3 млн рублей  это на 5,3%, чем в аналогичном периоде 2021 года.
В 1 квартале 2022 года чистая прибыль составила 2 млрд рублей против 2,6 млрд рублей годом ранее."	Fri, 29 Jul 2022 16:44:08 +0300	['TGKB']
"Чистая прибыль ""РусГидро"" по РСБУ за 1 полугодие выросла на 17%"	0.6818181818181819	https://www.finam.ru/analysis/newsitem/chistaya-pribyl-rusgidro-po-rsbu-za-i-polugodie-vyrosla-na-17-20220728-190629/?utm_source=rss&utm_medium=new_compaigns&news_to_finamb=new_compaigns	"По итогам первого полугодия 2022 года чистая прибыль ""РусГидро"" поРСБУ выросла на 17%, до 34,7 млрд рублей, показатель EBITDA увеличился на 13% до 56,3 млрд рублей, сообщила компания.
Выручка без учета надбавки к цене на мощность в I и II ценовых зонах, установленной для достижения на территориях ДФО базовых уровней цен на электроэнергию, за первое полугодие 2022 года составила 82,9 млрд рублей, что на 10% выше показателя за аналогичный период прошлого года. Изменение обусловлено началом реализации с 1 марта 2022 года электрической энергии Нижне-Бурейской ГЭС, ростом выработки электроэнергии гидроэлектростанциями в ряде макрорегионов России, а также ростом цен РСВ во II ценовой зоне, что позволило компенсировать падение выработки на фоне низкой водности в реках Сибири.
Стоимость активов компании по итогамI полугодия увеличилась на 20,1 млрд рублей, до 1 056,6 млрд рублей. Собственный капитал вырос на 1% до 838,8 млрд рублей.
Размер кредитного портфеля ""РусГидро"" уменьшился по сравнению с показателем на 31 декабря 2021 года на 14% и составил 98,3 млрд рублей, из которых долгосрочные заемные средства составляют около 50%."	Thu, 28 Jul 2022 19:06:29 +0300	['HYDR']
Финский производитель шин Nokian Tyres решил уйти из России	-0.411764705882353	https://www.rbc.ru/business/28/06/2022/62bacdfb9a79478a7a55f49b	Компания пришла на российский рынок в 2005 году. Свои активы в России и Белоруссии она оценивает в €400 млн	Tue, 28 Jun 2022 18:17:06 +0300	['NOK']
Финляндия отворачивается от «Газпрома» // Страна отказалась платить за газ в рублях	-0.7142857142857142	https://www.kommersant.ru/doc/5356112	Финская Gasum объявила, что не будет платить за российский газ в рублях, и готовится к остановкам поставок из РФ. В результате Финляндия может присоединиться к Польше и Болгарии, которым «Газпром» прекратил поставки в апреле. Gasum при этом собирается перенести в арбитраж прошлогодний спор с «Газпромом» по условиям долгосрочного контракта. Тем временем крупнейшие клиенты «Газпрома» в Германии и Италии начали открывать счета в Газпромбанке, чтобы платить за российский газ по новым условиям.	Tue, 17 May 2022 20:02:00 +0300	['GAZP']
Федун ушел с поста вице-президента ЛУКОЙЛа на пенсию	-0.025641025641025605	https://www.rbc.ru/business/03/03/2022/6220e95a9a7947bed25f4a65	После ухода с поста, который Федун занимал более 25 лет, бизнесмен останется акционером компании. Ранее в отставку ушел и президент ЛУКОЙЛа Алекперов	Mon, 27 Jun 2022 17:19:50 +0300	['LKOH']
